seed,allocator,makespan,energy,objective,idle,waits,steps,max_sharers,carried,delivered,finished
1,cbba,142,43.86563439909671,185.8656343990967,0.323943661971831,9,217.0,1,0.0,26.886268175868267,True
1,cbpae,150,40.04876912897314,190.04876912897313,0.355,18,227.0,1,0.0,26.88626817586827,True
1,moa-cbba,126,47.303383265582795,173.3033832655828,0.11706349206349206,26,270.0,3,0.0,26.88626817586827,True
2,cbba,191,59.94077301145542,250.9407730114554,0.418848167539267,23,295.0,1,0.0,24.193402494465726,True
2,cbpae,207,65.25812828302261,272.25812828302264,0.4106280193236715,24,338.0,1,0.0,24.193402494465726,True
2,moa-cbba,178,57.52950308661637,235.5295030866164,0.34831460674157305,29,274.0,2,0.0,24.193402494465726,True
3,cbba,342,97.46193370312145,439.4619337031214,0.46271929824561403,23,516.0,1,0.0,29.83585080918799,True
3,cbpae,465,98.4505208498066,563.4505208498066,0.5559139784946237,24,603.0,1,0.0,29.835850809188006,True
3,moa-cbba,255,100.54810756812017,355.54810756812014,0.1480392156862745,56,612.0,3,0.0,29.835850809187995,True
4,cbba,131,45.236549755710996,176.236549755711,0.3282442748091603,9,235.0,1,0.0,23.760715148129798,True
4,cbpae,140,47.16558864508226,187.16558864508227,0.2875,21,274.0,1,0.0,23.760715148129798,True
4,moa-cbba,127,46.122580938232346,173.12258093823235,0.25984251968503935,6,241.0,3,0.0,23.760715148129798,True
5,cbba,269,91.1287259256944,360.1287259256944,0.266728624535316,57,542.0,1,0.0,36.46933308258815,True
5,cbpae,290,89.40422095150647,379.4042209515065,0.30948275862068964,45,588.0,1,0.0,36.46933308258816,True
5,moa-cbba,323,110.38964840155714,433.3896484015571,0.20046439628482973,115,710.0,3,0.0,36.46933308258815,True
6,cbba,100,27.572119067311654,127.57211906731166,0.3475,4,121.0,1,0.0,29.602698429799535,True
6,cbpae,117,32.13076323956354,149.13076323956355,0.32264957264957267,24,169.0,1,0.0,29.60269842979953,True
6,moa-cbba,84,30.438754368155788,114.43875436815578,0.08630952380952381,12,163.0,2,0.0,29.60269842979953,True
7,cbba,316,113.88416015997637,429.8841601599764,0.2745253164556962,35,597.0,1,0.0,49.34803414791833,True
7,cbpae,400,109.75239400748657,509.7523940074866,0.43625,30,561.0,1,0.0,49.34803414791833,True
7,moa-cbba,300,140.6094590569972,440.6094590569972,0.06916666666666667,74,713.0,3,0.0,49.34803414791832,True
8,cbba,314,97.98237066062639,411.9823706606264,0.4148089171974522,22,522.0,1,0.0,32.20898947755249,True
8,cbpae,326,94.14157256143763,420.1415725614376,0.4708588957055215,17,494.0,1,0.0,32.2089894775525,True
8,moa-cbba,247,99.23182177050131,346.2318217705013,0.16396761133603238,60,578.0,2,0.0,32.2089894775525,True
9,cbba,256,72.0995833365042,328.0995833365042,0.486328125,12,234.0,1,0.0,51.313890676808796,True
9,cbpae,314,90.0437078388812,404.04370783888123,0.40605095541401276,24,375.0,1,0.0,51.313890676808796,True
9,moa-cbba,193,84.75589693722617,277.75589693722617,0.08937823834196891,21,354.0,4,0.0,51.31389067680882,True
10,cbba,288,88.58231190260193,376.58231190260193,0.3645833333333333,25,512.0,1,0.0,38.13681954850902,True
10,cbpae,249,80.5924035638047,329.5924035638047,0.3433734939759036,11,442.0,1,0.0,38.136819548509,True
10,moa-cbba,189,99.15878700780576,288.15878700780576,0.0291005291005291,24,515.0,2,0.0,38.13681954850901,True
11,cbba,261,85.53974576973512,346.53974576973513,0.39272030651340994,15,416.0,1,0.0,39.42707595222519,True
11,cbpae,290,109.6235702489524,399.62357024895243,0.3,17,603.0,1,0.0,39.427075952225195,True
11,moa-cbba,168,76.49656307792506,244.49656307792506,0.052083333333333336,14,451.0,2,0.0,39.42707595222519,True
12,cbba,125,44.011362693701074,169.01136269370107,0.24,11,256.0,1,0.0,30.38687364345802,True
12,cbpae,137,37.723159115241636,174.72315911524163,0.3284671532846715,17,237.0,1,0.0,30.38687364345802,True
12,moa-cbba,105,35.61384506746945,140.61384506746944,0.10238095238095238,3,196.0,3,0.0,30.386873643458024,True
13,cbba,288,120.24483770971031,408.2448377097103,0.2708333333333333,5,611.0,1,0.0,46.78228718870707,True
13,cbpae,284,107.11555215338905,391.11555215338905,0.2852112676056338,12,554.0,1,0.0,46.78228718870708,True
13,moa-cbba,278,125.32434206039302,403.324342060393,0.09622302158273381,67,669.0,3,0.0,46.78228718870708,True
14,cbba,409,147.42296817117,556.4229681711699,0.2732273838630807,65,856.0,1,0.0,44.16247304424552,True
14,cbpae,368,131.70132068642403,499.701320686424,0.26358695652173914,44,799.0,1,0.0,44.162473044245516,True
14,moa-cbba,314,145.50799208666064,459.50799208666064,0.04378980891719745,71,882.0,2,0.0,44.16247304424552,True
15,cbba,171,62.28865694096172,233.28865694096172,0.35964912280701755,21,266.0,1,0.0,26.05398377833571,True
15,cbpae,172,66.32660722929147,238.32660722929148,0.3444767441860465,10,297.0,1,0.0,26.05398377833571,True
15,moa-cbba,126,59.76245587201077,185.76245587201078,0.12698412698412698,13,261.0,2,0.0,26.053983778335713,True
16,cbba,263,107.71106704618727,370.7110670461873,0.18250950570342206,21,601.0,1,0.0,44.20639647755092,True
16,cbpae,271,96.87557934505853,367.87557934505855,0.27121771217712176,17,512.0,1,0.0,44.206396477550925,True
16,moa-cbba,248,98.33681842927369,346.3368184292737,0.07358870967741936,81,549.0,2,0.0,44.206396477550925,True
17,cbba,256,84.66325219228949,340.6632521922895,0.31640625,7,467.0,1,0.0,41.39536607192934,True
17,cbpae,287,86.75252080902328,373.7525208090233,0.38153310104529614,14,459.0,1,0.0,41.39536607192934,True
17,moa-cbba,270,112.1697869635266,382.1697869635266,0.05277777777777778,49,703.0,4,0.0,41.395366071929324,True
18,cbba,282,94.24211918826364,376.24211918826364,0.2650709219858156,50,623.0,1,0.0,37.231373369106635,True
18,cbpae,388,117.80274755771879,505.8027475577188,0.34664948453608246,59,770.0,1,0.0,37.231373369106635,True
18,moa-cbba,312,102.25651307341707,414.25651307341707,0.2155448717948718,80,725.0,2,0.0,37.231373369106635,True
19,cbba,366,111.00549364221204,477.00549364221206,0.375,18,658.0,1,0.0,56.39301941072593,True
19,cbpae,446,115.88874307463593,561.888743074636,0.4170403587443946,30,754.0,1,0.0,56.39301941072593,True
19,moa-cbba,292,105.93704192155192,397.9370419215519,0.08647260273972603,59,698.0,3,0.0,56.39301941072593,True
20,cbba,280,97.99190574895788,377.9919057489579,0.30089285714285713,22,605.0,1,0.0,36.37154459724127,True
20,cbpae,386,116.42908100611457,502.4290810061146,0.40479274611398963,24,774.0,1,0.0,36.37154459724126,True
20,moa-cbba,235,86.66646916856949,321.6664691685695,0.20212765957446807,30,570.0,2,0.0,36.37154459724127,True
21,cbba,178,61.6918009638615,239.6918009638615,0.25140449438202245,8,355.0,1,0.0,32.50384370092368,True
21,cbpae,273,79.35953962758157,352.35953962758157,0.4065934065934066,35,476.0,1,0.0,32.50384370092368,True
21,moa-cbba,166,73.0315459675161,239.03154596751608,0.06475903614457831,32,445.0,3,0.0,32.50384370092368,True
22,cbba,288,81.47607333047266,369.4760733304727,0.3446180555555556,62,592.0,1,0.0,19.098225897652124,True
22,cbpae,244,73.0493145783829,317.0493145783829,0.33094262295081966,23,518.0,1,0.0,19.098225897652124,True
22,moa-cbba,180,75.74350071035646,255.74350071035644,0.10694444444444444,30,502.0,1,0.0,19.098225897652124,True
23,cbba,190,60.5953724528453,250.5953724528453,0.26973684210526316,43,393.0,1,0.0,30.41750472610179,True
23,cbpae,140,62.18162877158321,202.1816287715832,0.15535714285714286,15,311.0,1,0.0,30.417504726101786,True
23,moa-cbba,142,58.65131505096946,200.65131505096946,0.03169014084507042,35,363.0,3,0.0,30.417504726101786,True
24,cbba,319,71.2292524771543,390.2292524771543,0.5697492163009404,11,358.0,1,0.0,36.54009871842375,True
24,cbpae,333,68.44799663984688,401.4479966398469,0.5915915915915916,5,330.0,1,0.0,36.54009871842375,True
24,moa-cbba,209,81.5584730156548,290.5584730156548,0.11483253588516747,51,533.0,4,0.0,36.54009871842375,True
25,cbba,303,107.6810143237742,410.6810143237742,0.2764026402640264,19,666.0,1,0.0,30.892854583614135,True
25,cbpae,357,115.1319172702461,472.1319172702461,0.35224089635854344,29,691.0,1,0.0,30.892854583614135,True
25,moa-cbba,240,99.18145336398094,339.18145336398095,0.1625,29,615.0,3,0.0,30.892854583614145,True
26,cbba,380,157.1179969864675,537.1179969864675,0.21447368421052632,43,1006.0,1,0.0,38.87431492718459,True
26,cbpae,468,150.19722916524003,618.1972291652401,0.3814102564102564,46,945.0,1,0.0,38.874314927184585,True
26,moa-cbba,357,151.24310972746338,508.2431097274634,0.05392156862745098,121,1075.0,3,0.0,38.87431492718459,True
27,cbba,422,116.02669486679869,538.0266948667987,0.44549763033175355,40,646.0,1,0.0,40.00323608897206,True
27,cbpae,558,139.97660545390627,697.9766054539062,0.4829749103942652,60,924.0,1,0.0,40.00323608897207,True
27,moa-cbba,272,115.39452880406925,387.39452880406924,0.11948529411764706,47,691.0,4,0.0,40.00323608897207,True
28,cbba,291,81.94579622325699,372.945796223257,0.4570446735395189,41,415.0,1,0.0,31.617787222273595,True
28,cbpae,396,90.70117902227716,486.7011790222772,0.5119949494949495,33,604.0,1,0.0,31.617787222273595,True
28,moa-cbba,198,88.13472707956781,286.1347270795678,0.10479797979797979,40,504.0,3,0.0,31.617787222273595,True
29,cbba,351,94.07296935735869,445.0729693573587,0.3732193732193732,62,690.0,1,0.0,29.04549164932951,True
29,cbpae,295,78.06196442688555,373.06196442688554,0.3847457627118644,38,524.0,1,0.0,29.045491649329513,True
29,moa-cbba,295,103.63518113504911,398.6351811350491,0.20847457627118643,100,674.0,3,0.0,29.04549164932951,True
30,cbba,269,100.74219778269784,369.7421977826979,0.3076208178438662,33,481.0,1,0.0,42.50281055660609,True
30,cbpae,255,96.16625796448562,351.1662579644856,0.2196078431372549,40,506.0,1,0.0,42.50281055660609,True
30,moa-cbba,215,84.35585830183251,299.35585830183254,0.1558139534883721,56,427.0,3,0.0,42.50281055660607,True
